,Mean Error (cal/mol/K),Experimental Val (cal/mol/K),Predicted Val (cal/mol/K),MAE,STD,Year,Source,BASE_State
83,26.198538675415293,-26.2,-0.00146132458470686,13.069549073561028,8.649104442124766,1949,CHANGES OF ENTROPY AND HEAT CONTENT DURING POLYMERIZATION,ls
91,18.044933078393882,-18.044933078393882,-8.795002612562147e-23,13.069549073561028,8.649104442124766,1999,PHB,ls
97,12.424358597356548,-12.4282982791587,-0.003939681802151978,13.069549073561028,8.649104442124766,1999,PHB,ls
99,12.899856184429751,-12.906309751434033,-0.006453567004284087,13.069549073561028,8.649104442124766,1999,PHB,ls
102,8.515517999701306,-8.604206500956023,-0.08868850125471783,13.069549073561028,8.649104442124766,1999,PHB,ls
103,1.8125375653417195,-2.1510516252390057,-0.33851405989728606,13.069549073561028,8.649104442124766,1999,PHB,ls
104,16.491395784034864,-16.491395793499045,-9.464176709903095e-09,13.069549073561028,8.649104442124766,1999,PHB,ls
105,13.145284194058604,-13.1453154875717,-3.1293513098840414e-05,13.069549073561028,8.649104442124766,1999,PHB,ls
106,10.277246374755723,-10.277246653919693,-2.791639705328569e-07,13.069549073561028,8.649104442124766,1999,PHB,ls
107,2.4930088206551333,-2.62906309751434,-0.13605427685920704,13.069549073561028,8.649104442124766,1999,PHB,ls
108,3.7306745033566417,-3.8240917782026767,-0.09341727484603482,13.069549073561028,8.649104442124766,1999,PHB,ls
109,0.7170160522933043,-0.7170172084130019,-1.1561196975623134e-06,13.069549073561028,8.649104442124766,1999,PHB,ls
110,2.969596619296978,2.9636711281070744,-0.005925491189903172,13.069549073561028,8.649104442124766,1999,PHB,ls
114,16.010280287407166,-16.013384321223707,-0.003104033816541892,13.069549073561028,8.649104442124766,1999,PHB,ls
118,7.6470032003941615,-7.660133843212236,-0.013130642818074838,13.069549073561028,8.649104442124766,1999,PHB,ls
121,2.396676394023227,-2.437858508604206,-0.041182114580978944,13.069549073561028,8.649104442124766,1999,PHB,ls
123,12.404397705544932,-12.404397705544932,-5.518240320313585e-21,13.069549073561028,8.649104442124766,1999,PHB,ls
125,16.343910122219718,-16.347992351816444,-0.0040822295967267875,13.069549073561028,8.649104442124766,1999,PHB,ls
128,16.012759758070022,-16.013384321223707,-0.0006245631536864476,13.069549073561028,8.649104442124766,2021,Chemically recyclable thermoplastics from reversible-deactivation polymerization of cyclic acetals,ls
134,5.495821755704913,-5.497131931166348,-0.0013101754614350154,13.069549073561028,8.649104442124766,1999,PHB,ls
137,1.9120458890929128,-1.9120458891013383,-8.42562292730024e-12,13.069549073561028,8.649104442124766,1999,PHB,ls
140,0.7170172084130019,0.7170172084130019,-1.6985138184537525e-22,13.069549073561028,8.649104442124766,1999,PHB,ls
144,4.3021032504780115,-4.3021032504780115,-2.6594762450366125e-19,13.069549073561028,8.649104442124766,1999,PHB,ls
145,22.370936902387445,-22.370936902485656,-9.821328779273396e-11,13.069549073561028,8.649104442124766,1999,PHB,ls
153,11.68738049713193,-11.68738049713193,-4.1966389970941954e-44,13.069549073561028,8.649104442124766,1999,PHB,ls
157,14.505077095539363,-14.507648183556405,-0.0025710880170415457,13.069549073561028,8.649104442124766,1999,PHB,ls
160,5.975143403441682,-5.975143403441682,-7.962966127677164e-25,13.069549073561028,8.649104442124766,1999,PHB,ls
161,4.182161691986651,-4.182600382409178,-0.0004386904225263908,13.069549073561028,8.649104442124766,1999,PHB,ls
162,22.22626989836888,-22.22753346080306,-0.0012635624341809195,13.069549073561028,8.649104442124766,1999,PHB,ls
163,17.920736445011023,-17.925430210325047,-0.004693765314023912,13.069549073561028,8.649104442124766,1999,PHB,ls
164,15.773314325100086,-15.774378585086042,-0.0010642599859557907,13.069549073561028,8.649104442124766,1999,PHB,ls
165,8.59634761608372,-8.604206500956023,-0.007858884872301936,13.069549073561028,8.649104442124766,1999,PHB,ls
167,3.87189292543021,3.87189292543021,1.034382947830526e-16,13.069549073561028,8.649104442124766,2019,Thermodynamics of Aromatic Cyclic Ester Polymerization in Bulk,ls
168,5.736137667304004,-5.736137667304015,-1.0864288207092562e-14,13.069549073561028,8.649104442124766,1999,PHB,ls
170,13.09391879036383,-13.097514340344167,-0.003595549980338064,13.069549073561028,8.649104442124766,1999,PHB,ls
175,7.08865668690176,-7.098470363288718,-0.009813676386958592,13.069549073561028,8.649104442124766,2020,Organocatalyzed ring opening polymerization of regio-isomeric lactones: reactivity and thermodynamics considerations,ls
176,6.538119012050993,-6.548757170172084,-0.010638158121090018,13.069549073561028,8.649104442124766,2005,Catalytic Polymerization of a Cyclic Ester Derived from a “Cool” Natural Precursor,ls
177,20.314928224415066,-20.31548757170172,-0.0005593472866524175,13.069549073561028,8.649104442124766,1999,PHB,ls
178,8.381239040692503,-10.755258126195029,-2.3740190855025243,13.069549073561028,8.649104442124766,2016,Aliphatic Polyester Block Polymer Design,ls
180,17.12464742491072,-17.208413001912046,-0.08376557700132709,13.069549073561028,8.649104442124766,1999,PHB,ls
182,14.755010130260382,-14.818355640535373,-0.06334551027498843,13.069549073561028,8.649104442124766,2016,Aliphatic Polyester Block Polymer Design,ls
183,15.068595541141393,-15.296367112810707,-0.2277715716693136,13.069549073561028,8.649104442124766,1999,PHB,ls
184,5.0191204582087625,-5.019120458891013,-6.822506172469235e-10,13.069549073561028,8.649104442124766,1999,PHB,ls 
